Title,Authors,PDF Link,Year
"A graph similarity for deep learning","Seongmin Ok","https://papers.nips.cc//paper_files/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-AuthorFeedback.pdf","2020"
"Modelling Cellular Perturbations with the Sparse Additive Mechanism Shift Variational Autoencoder","Michael Bereket, Theofanis Karaletsos","https://papers.nips.cc//paper_files/paper/2023/file/0001ca33ba34ce0351e4612b744b3936-Paper-Conference.pdf","2023"
"Federated Submodel Optimization for Hot and Cold Data Features","Yucheng Ding, Chaoyue Niu, Fan Wu, Shaojie Tang, Chengfei Lyu, yanghe feng, Guihai Chen","https://papers.nips.cc//paper_files/paper/2022/file/002262941c9edfd472a79298b2ac5e17-Paper-Conference.pdf","2022"
"Cross-Episodic Curriculum for Transformer Agents","Lucy Xiaoyang Shi, Yunfan Jiang, Jake Grigsby, Linxi Fan, Yuke Zhu","https://papers.nips.cc//paper_files/paper/2023/file/001608167bb652337af5df0129aeaabd-Paper-Conference.pdf","2023"
"Compositional Plan Vectors","Coline Devin, Daniel Geng, Pieter Abbeel, Trevor Darrell, Sergey Levine","https://papers.nips.cc//paper_files/paper/2019/file/00989c20ff1386dc386d8124ebcba1a5-AuthorFeedback.pdf","2019"
"Beyond Value-Function Gaps: Improved Instance-Dependent Regret Bounds for Episodic Reinforcement Learning","Christoph Dann, Teodor Vanislavov Marinov, Mehryar Mohri, Julian Zimmert","https://papers.nips.cc//paper_files/paper/2021/file/000c076c390a4c357313fca29e390ece-Paper.pdf","2021"
"PaintSeg: Painting Pixels for Training-free Segmentation","Xiang Li, Chung-Ching Lin, Yinpeng Chen, Zicheng Liu, Jinglu Wang, Rita Singh, Bhiksha Raj","https://papers.nips.cc//paper_files/paper/2023/file/0021c2cb1b9b6a71ac478ea52a93b25a-Paper-Conference.pdf","2023"
"On Kernelized Multi-Armed Bandits with Constraints","Xingyu Zhou, Bo Ji","https://papers.nips.cc//paper_files/paper/2022/file/00295cede6e1600d344b5cd6d9fd4640-Paper-Conference.pdf","2022"
"Learning to Propagate for Graph Meta-Learning","LU LIU, Tianyi Zhou, Guodong Long, Jing Jiang, Chengqi Zhang","https://papers.nips.cc//paper_files/paper/2019/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-AuthorFeedback.pdf","2019"
"Self-Supervised MultiModal Versatile Networks","Jean-Baptiste Alayrac, Adria Recasens, Rosalia Schneider, Relja Arandjelović, Jason Ramapuram, Jeffrey De Fauw, Lucas Smaira, Sander Dieleman, Andrew Zisserman","https://papers.nips.cc//paper_files/paper/2020/file/0060ef47b12160b9198302ebdb144dcf-AuthorFeedback.pdf","2020"
"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method","Simiao Ren, Willie Padilla, Jordan Malof","https://papers.nips.cc//paper_files/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-AuthorFeedback.pdf","2020"
"Learning One Representation to Optimize All Rewards","Ahmed Touati, Yann Ollivier","https://papers.nips.cc//paper_files/paper/2021/file/003dd617c12d444ff9c80f717c3fa982-Paper.pdf","2021"
"XNAS: Neural Architecture Search with Expert Advice","Niv Nayman, Asaf Noy, Tal Ridnik, Itamar Friedman, Rong Jin, Lihi Zelnik","https://papers.nips.cc//paper_files/paper/2019/file/00e26af6ac3b1c1c49d7c3d79c60d000-AuthorFeedback.pdf","2019"
"Off-Policy Evaluation and Learning for External Validity under a Covariate Shift","Masatoshi Uehara, Masahiro Kato, Shota Yasui","https://papers.nips.cc//paper_files/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-AuthorFeedback.pdf","2020"
"Matrix factorisation and the interpretation of geodesic distance","Nick Whiteley, Annie Gray, Patrick Rubin-Delanchy","https://papers.nips.cc//paper_files/paper/2021/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf","2021"
"Multi-resolution Multi-task Gaussian Processes","Oliver Hamelijnck, Theodoros Damoulas, Kangrui Wang, Mark Girolami","https://papers.nips.cc//paper_files/paper/2019/file/0118a063b4aae95277f0bc1752c75abf-AuthorFeedback.pdf","2019"
"Neural Methods for Point-wise Dependency Estimation","Yao-Hung Hubert Tsai, Han Zhao, Makoto Yamada, Louis-Philippe Morency, Russ R. Salakhutdinov","https://papers.nips.cc//paper_files/paper/2020/file/00a03ec6533ca7f5c644d198d815329c-AuthorFeedback.pdf","2020"
